"","R","s","delta","lamb0","mu0","b","d","dm"
"1",-5.51680594584367,-5.09234374623594,3.68095070439901,1.31529099261623,-2.1076510117937,-13.5044866076608,-14.7839577634236,5.95
"2",-6.01824474827097,-5.71157586696424,8.16992941151621,0.536264404141352,-1.74835715245882,-11.3246109693263,-15.459312982824,7.75
"3",-6.13028652410484,-4.9539821632792,6.49555000714615,1.42954100521933,-1.80908270205441,-11.0049160797841,-12.6052685386902,1.45
"4",-6.25506180689912,-5.22626319337348,10.7088522583731,0.803969308622733,-2.23541926165981,-9.45416633015563,-14.4746951743928,4.15
"5",-6.41123890619986,-4.60703107264519,13.0726938382245,1.09045899478067,-1.6723489882063,-12.3097649551739,-16.6533843991262,2.35
"6",-5.90980010377256,-4.28282914473814,16.0847928226137,0.963224509913724,-1.86361111716043,-11.9537368580323,-13.3539538845186,9.55
"7",-5.25427527110553,-4.79989583688172,14.4104134182436,1.55677549008628,-1.97091729794559,-10.2032593754701,-15.9046990532978,5.05
"8",-5.67298304514441,-5.51871110272771,9.50764899153536,1.71603069137727,-1.54458073834019,-10.6488879826425,-14.1551742811825,6.85
"9",-6.673769580938,-5.36462477633023,11.8714905713867,1.98373559585865,-2.03164284754118,-11.6340419684901,-15.1034786566339,8.65
"10",-5.79775832793868,-6.03577779487129,18.8993921253608,1.20470900738377,-1.91638888283957,-12.7553935623463,-13.7993399549924,3.25
