group;species;dry.mass.g;body.temp.C;mortality.year;ref
Bird;Accipiter cooperii;1.10E+002;40;0.213;1,2
Bird;Accipiter cooperii;1.32E+002;40;0.244;1,2
Bird;Accipiter cooperii;1.32E+002;40;0.345;1,2
Bird;Accipiter gentilis;2.56E+002;40;0.133;1,2
Bird;Accipiter gentilis;2.56E+002;40;0.133;1,2
Bird;Accipiter gentilis;2.56E+002;40;0.196;1,2
Bird;Accipiter gentilis;2.84E+002;40;0.196;1,2
Bird;Accipiter gentilis;2.84E+002;40;0.199;1,2
Bird;Accipiter nisus;5.05E+001;40;0.201;3
Bird;Accipiter nisus;5.94E+001;40;0.169;1,2
Bird;Accipiter n. nisus;5.94E+001;40;0.164;1,2
Bird;Accipiter striatus;4.35E+001;40;0.262;1,2
Bird;Acridotheres cristatellus;2.83E+001;40;0.228;1,2
Bird;Aechmophorus accidentalis;3.69E+002;40;0.394;1,2
Bird;Aechmophorus occidentalis;3.69E+002;40;0.182;1,2
Bird;Aegolius acadicus;2.07E+001;40;0.35;1,2
Bird;Aegolius acadicus;2.07E+001;40;0.355;1,2
Bird;Aegolius acadicus;2.07E+001;40;0.37;1,2
Bird;Aegolius funereus;3.35E+001;40;0.233;1,2
Bird;Aegolius funereus;3.35E+001;40;0.794;1,2
Bird;Aeronautes sexatilis;8.03E+000;40;0.459;1,2
Bird;Aethia cristatella;6.60E+001;40;0.34;1,2
Bird;Aethia pusilla;2.10E+001;40;0.602;1,2
Bird;Agelaius phoeniceus;1.59E+001;40;0.161;1,2
Bird;Aimophila aestivalis;4.91E+000;40;0.909;1,2
Bird;Aimophila quinquestriata;4.76E+000;40;0.667;1,2
Bird;Aimophila ruficeps;4.68E+000;40;0.847;1,2
Bird;Aix sponsa;6.20E+001;40;0.112;1,2
Bird;Aix sponsa;6.20E+001;40;0.144;1,2
Bird;Alca torda;1.80E+002;40;0.407;1,2
Bird;Alca torda;1.80E+002;40;0.42;1,2
Bird;Ammodramus caudacutus;4.45E+000;40;0.435;1,2
Bird;Ammodramus caudacutus;5.18E+000;40;0.256;1,2
Bird;Ammodramus maritimus;5.58E+000;40;0.286;1,2
Bird;Ammodramus maritimus;5.81E+000;40;0.289;1,2
Bird;Ammodramus maritimus;6.05E+000;40;0.286;1,2
Bird;Ammodramus savannarum;4.25E+000;40;0.877;1,2
Bird;Amphispiza bilineata;3.38E+000;40;0.435;1,2
Bird;Anas acuta;2.59E+002;40;0.119;1,2
Bird;Anas acuta;2.59E+002;40;0.123;1,2
Bird;Anas americana;1.80E+002;40;0.119;1,2
Bird;Anas americana;1.98E+002;40;0.286;1,2
Bird;Anas clypeata;1.59E+002;40;0.153;1,2
Bird;Anas crecca;7.95E+001;40;0.123;1,2
Bird;Anas crecca;9.10E+001;40;0.125;1,2
Bird;Anas cyanoptera;1.02E+002;40;0.198;1,2
Bird;Anas discors;9.08E+001;40;0.113;1,2
Bird;Anas discors;1.02E+002;40;0.146;1,2
Bird;Anas fulvigula;2.42E+002;40;0.196;1,2
Bird;Anas fulvigula;2.58E+002;40;0.19;1,2
Bird;Anas laysanensis;1.07E+002;40;0.216;1,2
Bird;Anas penelope;2.05E+002;40;0.299;1,2
Bird;Anas platyrhynchos;2.71E+002;40;0.087;1,2
Bird;Anas platyrhynchos;2.71E+002;40;0.108;1,2
